DATE,RU1000TR
2007-01-03,3430.01
2007-01-04,3435.87
2007-01-05,3414.67
2007-01-08,3423.50
2007-01-09,3423.52
2007-01-10,3433.06
2007-01-11,3457.04
2007-01-12,3474.49
2007-01-15,.
2007-01-16,3477.37
2007-01-17,3474.39
2007-01-18,3462.29
2007-01-19,3473.09
2007-01-22,3455.01
2007-01-23,3467.37
2007-01-24,3497.81
2007-01-25,3459.21
2007-01-26,3456.21
2007-01-29,3454.52
2007-01-30,3473.66
2007-01-31,3497.78
2007-02-01,3518.00
2007-02-02,3524.38
2007-02-05,3521.97
2007-02-06,3526.01
2007-02-07,3534.12
2007-02-08,3530.15
2007-02-09,3504.44
2007-02-12,3491.54
2007-02-13,3519.23
2007-02-14,3546.97
2007-02-15,3552.05
2007-02-16,3550.15
2007-02-19,.
2007-02-20,3562.62
2007-02-21,3558.68
2007-02-22,3555.64
2007-02-23,3544.22
2007-02-26,3538.72
2007-02-27,3418.17
2007-02-28,3437.60
2007-03-01,3428.66
2007-03-02,3388.08
2007-03-05,3352.53
2007-03-06,3405.08
2007-03-07,3397.82
2007-03-08,3422.40
2007-03-09,3425.66
2007-03-12,3435.53
2007-03-13,3366.99
2007-03-14,3387.77
2007-03-15,3402.26
2007-03-16,3388.66
2007-03-19,3425.55
2007-03-20,3448.16
2007-03-21,3505.86
2007-03-22,3505.04
2007-03-23,3508.81
2007-03-26,3511.14
2007-03-27,3489.96
2007-03-28,3464.29
2007-03-29,3475.84
2007-03-30,3473.29
2007-04-02,3482.53
2007-04-03,3515.40
2007-04-04,3519.68
2007-04-05,3531.60
2007-04-06,.
2007-04-09,3534.53
2007-04-10,3543.09
2007-04-11,3520.46
2007-04-12,3541.27
2007-04-13,3553.79
2007-04-16,3590.84
2007-04-17,3598.04
2007-04-18,3600.72
2007-04-19,3595.04
2007-04-20,3627.12
2007-04-23,3620.23
2007-04-24,3618.10
2007-04-25,3652.91
2007-04-26,3651.56
2007-04-27,3649.58
2007-04-30,3619.31
2007-05-01,3628.68
2007-05-02,3654.94
2007-05-03,3670.97
2007-05-04,3679.41
2007-05-07,3687.93
2007-05-08,3684.55
2007-05-09,3698.71
2007-05-10,3647.77
2007-05-11,3682.74
2007-05-14,3675.27
2007-05-15,3668.26
2007-05-16,3699.48
2007-05-17,3696.47
2007-05-18,3720.07
2007-05-21,3728.82
2007-05-22,3729.05
2007-05-23,3723.36
2007-05-24,3685.34
2007-05-25,3705.51
2007-05-28,.
2007-05-29,3714.76
2007-05-30,3746.63
2007-05-31,3749.68
2007-06-01,3764.35
2007-06-04,3771.63
2007-06-05,3751.26
2007-06-06,3716.70
2007-06-07,3650.35
2007-06-08,3691.33
2007-06-11,3694.38
2007-06-12,3655.68
2007-06-13,3708.89
2007-06-14,3727.39
2007-06-15,3751.79
2007-06-18,3746.24
2007-06-19,3752.43
2007-06-20,3702.83
2007-06-21,3725.68
2007-06-22,3676.29
2007-06-25,3662.02
2007-06-26,3648.87
2007-06-27,3683.34
2007-06-28,3682.96
2007-06-29,3678.06
2007-07-02,3718.54
2007-07-03,3732.42
2007-07-04,.
2007-07-05,3735.52
2007-07-06,3750.86
2007-07-09,3754.43
2007-07-10,3701.74
2007-07-11,3723.01
2007-07-12,3791.11
2007-07-13,3803.86
2007-07-16,3795.16
2007-07-17,3794.52
2007-07-18,3787.23
2007-07-19,3804.70
2007-07-20,3759.77
2007-07-23,3775.35
2007-07-24,3699.80
2007-07-25,3713.46
2007-07-26,3627.11
2007-07-27,3571.55
2007-07-30,3608.24
2007-07-31,3564.45
2007-08-01,3586.38
2007-08-02,3605.07
2007-08-03,3510.14
2007-08-06,3586.91
2007-08-07,3610.26
2007-08-08,3661.43
2007-08-09,3556.51
2007-08-10,3556.84
2007-08-13,3557.74
2007-08-14,3493.01
2007-08-15,3441.26
2007-08-16,3447.26
2007-08-17,3531.38
2007-08-20,3533.43
2007-08-21,3539.57
2007-08-22,3583.34
2007-08-23,3579.22
2007-08-24,3621.50
2007-08-27,3590.71
2007-08-28,3506.90
2007-08-29,3584.24
2007-08-30,3570.89
2007-08-31,3612.96
2007-09-03,.
2007-09-04,3652.37
2007-09-05,3613.68
2007-09-06,3629.09
2007-09-07,3568.65
2007-09-10,3561.62
2007-09-11,3609.59
2007-09-12,3610.80
2007-09-13,3639.44
2007-09-14,3642.09
2007-09-17,3622.32
2007-09-18,3726.95
2007-09-19,3749.26
2007-09-20,3725.81
2007-09-21,3742.55
2007-09-24,3723.52
2007-09-25,3722.52
2007-09-26,3744.13
2007-09-27,3761.52
2007-09-28,3750.93
2007-10-01,3800.51
2007-10-02,3801.34
2007-10-03,3784.90
2007-10-04,3792.48
2007-10-05,3831.63
2007-10-08,3819.55
2007-10-09,3850.86
2007-10-10,3846.36
2007-10-11,3825.74
2007-10-12,3844.52
2007-10-15,3812.58
2007-10-16,3786.78
2007-10-17,3793.71
2007-10-18,3791.79
2007-10-19,3695.96
2007-10-22,3710.76
2007-10-23,3743.54
2007-10-24,3734.62
2007-10-25,3729.35
2007-10-26,3779.01
2007-10-29,3794.75
2007-10-30,3770.17
2007-10-31,3816.32
2007-11-01,3719.55
2007-11-02,3721.73
2007-11-05,3700.74
2007-11-06,3745.24
2007-11-07,3640.51
2007-11-08,3639.77
2007-11-09,3587.50
2007-11-12,3546.63
2007-11-13,3648.09
2007-11-14,3624.35
2007-11-15,3578.73
2007-11-16,3596.23
2007-11-19,3532.84
2007-11-20,3546.20
2007-11-21,3492.29
2007-11-22,.
2007-11-23,3549.43
2007-11-26,3471.65
2007-11-27,3520.96
2007-11-28,3622.63
2007-11-29,3625.31
2007-11-30,3653.63
2007-12-03,3633.42
2007-12-04,3610.46
2007-12-05,3664.68
2007-12-06,3721.17
2007-12-07,3718.02
2007-12-10,3746.55
2007-12-11,3650.86
2007-12-12,3670.63
2007-12-13,3674.93
2007-12-14,3624.99
2007-12-17,3569.60
2007-12-18,3590.45
2007-12-19,3587.42
2007-12-20,3608.05
2007-12-21,3667.84
2007-12-24,3697.57
2007-12-25,.
2007-12-26,3700.00
2007-12-27,3648.63
2007-12-28,3653.27
2007-12-31,3629.84
2008-01-01,.
2008-01-02,3579.67
2008-01-03,3577.11
2008-01-04,3487.20
2008-01-07,3494.44
2008-01-08,3430.63
2008-01-09,3473.20
2008-01-10,3501.80
2008-01-11,3454.64
2008-01-14,3491.25
